"","People (%)","Males (%)","Females (%)"
"Aug-10","7.2","5.7","9.0"
"Sep-10","7.1","5.6","8.9"
"Oct-10","7.0","5.5","8.9"
"Nov-10","6.9","5.5","8.6"
"Dec-10","7.0","5.3","8.9"
"Jan-11","6.8","5.1","8.9"
"Feb-11","6.9","5.1","9.0"
"Mar-11","6.9","5.2","9.0"
"Apr-11","7.0","5.4","8.9"
"May-11","7.1","5.5","8.9"
"Jun-11","7.0","5.4","8.8"
"Jul-11","6.8","5.1","8.8"
"Aug-11","6.7","5.0","8.8"
"Sep-11","6.8","5.0","8.9"
"Oct-11","6.9","5.2","9.0"
"Nov-11","7.1","5.3","9.1"
"Dec-11","7.1","5.4","9.2"
"Jan-12","7.2","5.5","9.1"
"Feb-12","7.3","5.7","9.1"
"Mar-12","7.2","5.6","9.1"
"Apr-12","7.3","5.5","9.4"
"May-12","7.4","5.5","9.6"
"Jun-12","7.2","5.4","9.3"
"Jul-12","7.1","5.2","9.2"
"Aug-12","6.9","5.1","9.0"
"Sep-12","6.8","5.1","8.9"
"Oct-12","7.0","5.2","9.1"
"Nov-12","7.0","5.3","9.1"
"Dec-12","7.0","5.3","9.0"
"Jan-13","7.0","5.3","8.9"
"Feb-13","7.1","5.4","9.0"
"Mar-13","7.2","5.5","9.3"
"Apr-13","7.2","5.5","9.2"
"May-13","7.5","5.8","9.5"
"Jun-13","7.5","5.9","9.5"
"Jul-13","7.4","5.6","9.5"
"Aug-13","7.6","5.8","9.7"
"Sep-13","7.4","5.7","9.5"
"Oct-13","7.5","5.8","9.5"
"Nov-13","7.5","5.7","9.6"
"Dec-13","7.5","5.8","9.5"
"Jan-14","7.3","5.7","9.3"
"Feb-14","7.5","5.7","9.6"
"Mar-14","7.5","5.7","9.7"
"Apr-14","7.7","5.7","9.9"
"May-14","7.8","5.9","9.9"
"Jun-14","7.9","6.0","10.2"
"Jul-14","8.3","6.3","10.6"
"Aug-14","8.4","6.4","10.7"
"Sep-14","8.8","6.9","11.1"
"Oct-14","8.2","6.3","10.4"
"Nov-14","8.6","6.7","10.9"
"Dec-14","8.4","6.5","10.7"
"Jan-15","8.5","6.5","10.9"
"Feb-15","8.5","6.4","11.0"
"Mar-15","8.2","5.9","10.8"
"Apr-15","8.3","6.4","10.6"
"May-15","8.4","6.4","10.7"
"Jun-15","8.4","6.5","10.6"
"Jul-15","8.6","6.8","10.7"
"Aug-15","8.4","6.4","10.8"
"Sep-15","8.8","6.8","11.2"
"Oct-15","8.7","6.7","11.0"
"Nov-15","8.6","6.7","10.8"
"Dec-15","8.5","6.3","10.9"
"Jan-16","8.5","6.6","10.7"
"Feb-16","8.4","6.5","10.5"
"Mar-16","8.4","6.6","10.5"
"Apr-16","8.6","7.1","10.4"
"May-16","8.3","6.7","10.2"
"Jun-16","8.8","7.0","10.8"
"Jul-16","9.0","7.0","11.3"
"Aug-16","8.8","7.1","10.7"
"Sep-16","8.7","6.9","10.8"
"Oct-16","8.5","6.8","10.5"
"Nov-16","8.5","6.7","10.6"
"Dec-16","8.6","6.8","10.7"
"Jan-17","8.8","6.9","11.0"
"Feb-17","9.0","6.9","11.5"
"Mar-17","8.6","6.8","10.7"
"Apr-17","8.8","6.7","11.1"
"May-17","8.7","6.8","10.8"
"Jun-17","8.4","6.6","10.5"
"Jul-17","8.5","6.8","10.5"
"Aug-17","8.6","6.8","10.6"
"Sep-17","8.5","6.7","10.6"
"Oct-17","8.5","6.6","10.6"
"Nov-17","8.5","6.7","10.6"
"Dec-17","8.5","6.5","10.8"
"Jan-18","8.7","7.0","10.6"
"Feb-18","8.5","6.6","10.7"
"Mar-18","8.6","6.6","10.9"
"Apr-18","8.5","6.4","10.8"
"May-18","8.4","6.4","10.7"
"Jun-18","8.6","6.6","10.9"
"Jul-18","8.5","6.3","10.9"
"Aug-18","8.2","6.0","10.6"
"Sep-18","8.3","6.3","10.6"
"Oct-18","8.3","6.2","10.6"
"Nov-18","8.5","6.6","10.7"
"Dec-18","8.3","6.5","10.4"
"Jan-19","8.1","6.2","10.3"
"Feb-19","8.1","6.2","10.2"
"Mar-19","8.3","6.5","10.3"
"Apr-19","8.5","6.9","10.3"
"May-19","8.5","6.8","10.5"
"Jun-19","8.2","6.6","10.0"
"Jul-19","8.4","6.7","10.4"
"Aug-19","8.5","6.9","10.3"
"Sep-19","8.3","6.8","10.1"
"Oct-19","8.5","6.7","10.5"
"Nov-19","8.3","6.7","10.2"
"Dec-19","8.2","6.6","10.1"
"Jan-20","8.6","6.7","10.7"
"Feb-20","8.6","6.6","10.9"
"Mar-20","8.8","7.2","10.6"
"Apr-20","13.8","12.6","15.0"
"May-20","13.1","12.2","14.1"
"Jun-20","11.7","10.9","12.6"
"Jul-20","11.2","10.3","12.2"
"Aug-20","11.2","10.4","12.0"

"Source: Australian Bureau of Statistics, undefined August 2020"
